# ----------------------------------------
# Report CSV Export
# Account: Clown Monster
# Property: HackerRankSolutions
# ----------------------------------------
# 
# All Users
# Start date: 20200523
# End date: 20210523

User medium,New users
organic,12031
(none),1775
referral,199

# Start date: 20200523
# End date: 20210523
Day,organic,(none),referral
0296,55,1,0
0297,73,7,1
0298,52,6,0
0299,71,7,1
0300,39,0,2
0301,43,4,0
0302,40,3,0
0303,49,2,1
0304,72,4,0
0305,74,10,2
0306,84,8,1
0307,65,10,0
0308,65,9,1
0309,53,2,0
0310,39,2,0
0311,61,3,0
0312,75,5,3
0313,73,6,0
0314,72,3,3
0315,70,9,6
0316,69,3,1
0317,137,12,2
0318,111,15,4
0319,129,13,1
0320,144,12,5
0321,102,7,0
0322,88,9,2
0323,104,7,1
0324,102,12,1
0325,93,5,0
0326,87,6,2
0327,143,53,1
0328,126,13,0
0329,158,15,0
0330,126,4,1
0331,116,24,1
0332,118,18,0
0333,192,17,1
0334,229,120,1
0335,219,47,0
0336,152,43,1
0337,138,24,0
0338,218,11,1
0339,139,19,1
0340,151,29,2
0341,143,8,2
0342,137,12,1
0343,163,10,4
0344,150,9,0
0345,163,10,2
0346,193,15,4
0347,209,22,2
0348,192,17,2
0349,220,18,3
0350,202,15,1
0351,234,17,0
0352,217,71,13
0353,218,25,2
0354,295,35,2
0355,343,33,1
0356,269,18,2
0357,295,24,2
0358,218,41,1
0359,283,66,31
0360,280,20,0
0361,256,20,2
0362,257,27,4
0363,222,30,2
0364,234,18,0
0365,240,18,13

# All Users
# Start date: 20200523
# End date: 20210523

User medium,New users,Engaged sessions,Engagement rate,Engaged sessions per user,Average engagement time,Event count,Conversions,Total revenue
organic,12031,13417,0.7894210402447635,1.1121518567639257,80.2659151193634,104739,0,0
(none),1775,1937,0.6985214569058781,1.0767092829349638,114.3035019455253,31283,0,0
referral,199,399,0.676271186440678,2.015151515151515,137.77777777777777,8885,0,0
