# ----------------------------------------
# Report CSV Export
# Account: Clown Monster
# Property: HackerRankSolutions
# ----------------------------------------
#  
# Start date: 20210517
# End date: 20210523
Day,Users
0000,467
0001,383
0002,356
0003,370
0004,334
0005,340
0006,343

# Start date: 20210517
# End date: 20210523
Day,New users
0000,380
0001,300
0002,278
0003,288
0004,254
0005,252
0006,271

# Start date: 20210517
# End date: 20210523
Day,Average engagement time
0000,56.44967880085653
0001,81.97650130548303
0002,73.62359550561797
0003,100.91081081081082
0004,105.0059880239521
0005,84.29705882352941
0006,77.25072886297376

# Start date: 20210517
# End date: 20210523
Day,Total revenue


#  


#  


# Where do your new users come from?
# Start date: 20210517
# End date: 20210523
User medium,New users
organic,1772
(none),199
referral,52

#  
# Start date: 20210517
# End date: 20210523
Session medium,Sessions
organic,2713
(none),302
referral,52

# Where are your users visiting from?
# Start date: 20210325
# End date: 20210523
Country ID,Users,Users (Previous)
Print in Reverse - HackerRank Solutions,14
Compare two linked lists - HackerRank Solutions,14
Inserting a Node Into a Sorted Doubly Linked List - HackerRank Solutions,14
Jenny's Subtrees - HackerRank Solutions,10
Truck Tour - HackerRank Solutions,19
Cats and a Mouse - HackerRank Solutions,12
Delete duplicate-value nodes from a sorted linked list - HackerRank Solutions,23
Migratory Birds - HackerRank Solutions,14
Kitty's Calculations on a Tree - HackerRank Solutions,19
Reverse a doubly linked list - HackerRank Solutions,14
Tree: Preorder Traversal - HackerRank Solutions,17
2D Array-DS - HackerRank Solutions,13
Java Interface - HackerRank Solutions,8
Arrays Introduction C++ - HackerRank Solutions,13
Collections.namedtuple() python - HackerRank Solutions,19
Merge two sorted linked lists - HackerRank Solutions,11
Delete a Node - HackerRank Solutions,21
Arithmetic Operators - HackerRank Solutions,17
Circular Array Rotation - HackerRank Solutions,16
For Loops in c - HackerRank Solutions,11
Iterables and Iterators python - HackerRank Solutions,17
Max Transform - HackerRank Solutions,28
"Mean, Var, and Std python - HackerRank Solutions",15
Set.difference() Operation - HackerRank Solutions,11
Input() python - HackerRank Solutions,18
Insert a Node at the head of a Linked List - HackerRank Solutions,13
Pointers in c - HackerRank Solutions,16
Subarray Division - HackerRank Solutions,17
Sum and Difference of Two Numbers - HackerRank Solutions,18
Playing with Characters - HackerRank Solutions,16
Plus Minus - HackerRank Solutions,12
A Very Big Sum - HackerRank Solutions,13
Collections.deque() python - HackerRank Solutions,12
Insert a Node at the Tail of a Linked List - HackerRank Solutions,11
The Hurdle Race - HackerRank Solutions,8
Valid Username Regular Expression Java - HackerRank Solutions,12
Zeros and Ones python - HackerRank Solutions,9
Concatenate python - HackerRank Solutions,11
Java Stdin and Stdout II - HackerRank Solutions,10
Tree Coordinates - HackerRank Solutions,12
Variable Sized Arrays - HackerRank Solutions,14
Word Order Python - HackerRank Solutions,14
CamelCase - HackerRank Solutions,15
Input and Output C++ - HackerRank Solutions,6
Python: Division - HackerRank Solutions,7
"Say ""Hello, World!"" With Python - HackerRank Solutions",16
Sequence Equation - HackerRank Solutions,15
Strings: Making Anagrams - HackerRank Solutions,11
Tree: Huffman Decoding - HackerRank Solutions,6
Bill Division - HackerRank Solutions,11
Java Stack - HackerRank Solutions,8
Largest Rectangle - HackerRank Solutions,11
itertools.permutations() python - HackerRank Solutions,11
Square-Ten Tree - HackerRank Solutions,9
The Coin Change Problem - HackerRank Solutions,14
Apple and Orange - HackerRank Solutions,8
Array Manipulation - HackerRank Solutions,4
Candies - HackerRank Solutions,3
Functions C++ - HackerRank Solutions,12
Mutations Python - HackerRank Solutions,11
Self Balancing Tree - HackerRank Solutions,9
Classes: Dealing with Complex Numbers python - HackerRank Solutions,10
Components in a graph - HackerRank Solutions,9
Crossword Puzzle - HackerRank Solutions,10
Equal Stacks - HackerRank Solutions,7
Java Abstract Class - HackerRank Solutions,7
Map and Lambda Function python - HackerRank Solutions,17
Set .intersection() Operation - HackerRank Solutions,13
Sorting Array of Strings C - HackerRank Solutions,8
"Set.discard(), remove() & pop() Python - HackerRank Solutions",6
StringStream C++ - HackerRank Solutions,7
Swap Nodes [Algo] - HackerRank Solutions,12
Ashton and String - HackerRank Solutions,7
Counting Valleys - HackerRank Solutions,9
Forming a Magic Square - HackerRank Solutions,8
Get Node Value - HackerRank Solutions,9
Java End-of-file - HackerRank Solutions,11
Polynomials python - HackerRank Solutions,4
Tree: Height of a Binary Tree - HackerRank Solutions,7
Abstract Classes - Polymorphism C++ - HackerRank Solutions,12
Arrays python - HackerRank Solutions,8
Calendar Module python - HackerRank Solutions,7
DefaultDict Tutorial python - HackerRank Solutions,8
Java 1D Array - HackerRank Solutions,6
Java Regex - HackerRank Solutions,7
Querying the Document C - HackerRank Solutions,3
The Longest Increasing Subsequence - HackerRank Solutions,7
Beautiful Days at the Movies - HackerRank Solutions,10
Capitalize! Python - HackerRank Solutions,6
Company Logo Python - HackerRank Solutions,8
Contacts - HackerRank Solutions,9
No Prefix Set - HackerRank Solutions,7
Sales by Match - HackerRank Solutions,6
The Maximum Subarray - HackerRank Solutions,12
Any or All python - HackerRank Solutions,3
Basic Data Types C++ - HackerRank Solutions,7
Boxes through a Tunnel C - HackerRank Solutions,3
C++ Class Templates - HackerRank Solutions,6
Collections.OrderedDict() python - HackerRank Solutions,3
Java Substring Comparisons - HackerRank Solutions,7
Jumping on the Clouds - HackerRank Solutions,5
Knapsack - HackerRank Solutions,2
Linear Algebra python - HackerRank Solutions,8
Maximum Subarray Sum - HackerRank Solutions,2
Nikita and the Game - HackerRank Solutions,4
String Similarity - HackerRank Solutions,8
String Validators Python - HackerRank Solutions,10
Tag Content Extractor Java - HackerRank Solutions,9
Alphabet Rangoli Python - HackerRank Solutions,5
Angry Professor - HackerRank Solutions,5
Balanced Forest - HackerRank Solutions,7
Digit Frequency - HackerRank Solutions,4
Dynamic Array - HackerRank Solutions,5
Grading Students - HackerRank Solutions,6
Messages Order C++ - HackerRank Solutions,9
